ProductID,CustomerID,ShipDate,Quantity,UnitPrice,TotalPrice,State,Region,Category,Product
11,9,2024-02-13,9,958.95,8630.55,SP,Sudeste,Eletroeletrônicos,Micro-ondas
21,13,2024-08-17,3,3034.35,9103.05,AP,Norte,Videogame,Headset Gamer
15,29,2024-06-22,15,4452.74,66791.1,PI,Nordeste,Eletroeletrônicos,Micro-ondas
13,11,2024-08-08,4,4469.43,17877.72,MA,Nordeste,Eletroeletrônicos,Máquina de Lavar
7,24,2024-03-21,16,3206.82,51309.12,RO,Norte,Informática,Memória RAM 16GB
36,30,2023-10-03,9,4378.46,39406.14,SP,Sudeste,Casa e Jardim,Cortador de Grama
42,30,2024-03-09,13,2349.53,30543.89,RN,Nordeste,Videogame,Console Xbox Series X
5,21,2024-06-27,10,414.23,4142.3,MG,Sudeste,Eletroeletrônicos,Geladeira Frost Free
5,20,2024-03-28,3,4088.8,12266.4,AL,Nordeste,Videogame,Controle DualSense
1,30,2023-12-29,7,3443.75,24106.25,RS,Sul,Informática,Memória RAM 16GB
27,26,2024-08-02,1,1953.4,1953.4,TO,Norte,Casa e Jardim,Aspirador de Pó
22,29,2024-04-05,19,1848.54,35122.26,ES,Sudeste,Casa e Jardim,Cortador de Grama
29,29,2024-02-02,15,733.36,11000.4,SC,Sul,Videogame,Console Xbox Series X
50,8,2024-02-16,4,773.04,3092.16,ES,Sudeste,Eletroeletrônicos,Geladeira Frost Free
25,24,2024-08-17,19,2245.99,42673.81,MT,Centro-Oeste,Celulares,Motorola Edge 40
18,12,2024-07-22,20,4699.38,93987.6,SP,Sudeste,Eletroeletrônicos,Máquina de Lavar
19,4,2024-05-12,18,3694.21,66495.78,SC,Sul,Celulares,iPhone 14
45,18,2024-04-11,3,636.74,1910.22,SE,Nordeste,Eletroeletrônicos,TV 4K 55'
14,4,2023-11-22,7,1620.56,11343.92,RS,Sul,Casa e Jardim,Aspirador de Pó
39,11,2024-04-27,14,2366.31,33128.34,RS,Sul,Eletroeletrônicos,Micro-ondas
15,19,2024-07-31,17,2748.62,46726.54,RR,Norte,Casa e Jardim,Luminária de Mesa
29,19,2023-10-13,5,4003.08,20015.4,MT,Centro-Oeste,Casa e Jardim,Aspirador de Pó
42,9,2024-02-17,14,2620.67,36689.38,AL,Nordeste,Casa e Jardim,Aspirador de Pó
18,13,2024-09-07,13,273.62,3557.06,CE,Nordeste,Eletroeletrônicos,TV 4K 55'
26,22,2024-01-06,17,877.91,14924.47,DF,Centro-Oeste,Celulares,Samsung Galaxy S23
45,11,2024-08-30,13,1841.12,23934.56,AM,Norte,Videogame,Console PS5
50,2,2024-06-13,4,1522.18,6088.72,RS,Sul,Videogame,Jogo FIFA 2024
48,20,2024-04-03,8,1956.22,15649.76,PE,Nordeste,Eletroeletrônicos,Máquina de Lavar
48,20,2024-08-22,14,529.78,7416.92,PR,Sul,Videogame,Headset Gamer
12,13,2024-04-05,2,2357.43,4714.86,PB,Nordeste,Informática,SSD 1TB
41,26,2024-03-19,16,1557.1,24913.6,MT,Centro-Oeste,Eletroeletrônicos,Micro-ondas
41,7,2024-03-14,19,4830.11,91772.09,SC,Sul,Videogame,Controle DualSense
6,10,2024-07-09,7,2092.69,14648.83,PA,Norte,Videogame,Console Xbox Series X
42,22,2023-10-27,9,2781.84,25036.56,AP,Norte,Informática,Monitor Full HD
43,18,2024-07-12,5,3997.69,19988.45,PE,Nordeste,Eletroeletrônicos,Micro-ondas
47,21,2024-08-23,19,2736.83,51999.77,SC,Sul,Casa e Jardim,Furadeira Elétrica
15,4,2024-06-28,8,3644.76,29158.08,PE,Nordeste,Informática,SSD 1TB
37,18,2024-01-02,2,2560.6,5121.2,ES,Sudeste,Casa e Jardim,Furadeira Elétrica
50,12,2023-10-24,16,4088.05,65408.8,RO,Norte,Celulares,Xiaomi Mi 13
49,12,2023-11-27,11,4599.38,50593.18,RJ,Sudeste,Eletroeletrônicos,TV 4K 55'
27,16,2024-04-21,5,4096.01,20480.05,AC,Norte,Eletroeletrônicos,Máquina de Lavar
25,30,2023-10-01,13,1786.54,23225.02,MS,Centro-Oeste,Videogame,Controle DualSense
5,3,2023-10-15,16,1317.82,21085.12,RO,Norte,Eletroeletrônicos,Máquina de Lavar
5,29,2023-12-16,12,880.95,10571.4,PR,Sul,Eletroeletrônicos,Geladeira Frost Free
46,25,2024-06-18,19,2792.16,53051.04,RS,Sul,Videogame,Headset Gamer
48,16,2024-03-01,18,1102.99,19853.82,PR,Sul,Casa e Jardim,Cortador de Grama
40,11,2023-10-21,17,1403.2,23854.4,SC,Sul,Celulares,Google Pixel 8
50,6,2024-04-09,16,4785.87,76573.92,PB,Nordeste,Informática,Memória RAM 16GB
36,18,2024-05-21,5,1640.22,8201.1,AC,Norte,Informática,Memória RAM 16GB
38,10,2024-03-29,9,2964.77,26682.93,ES,Sudeste,Casa e Jardim,Furadeira Elétrica
12,23,2024-06-21,10,3431.87,34318.7,RJ,Sudeste,Casa e Jardim,Ventilador
44,24,2024-05-21,14,1632.97,22861.58,SP,Sudeste,Eletroeletrônicos,TV 4K 55'
8,14,2024-08-14,1,1927.11,1927.11,AC,Norte,Celulares,Xiaomi Mi 13
15,18,2024-02-02,14,3075.07,43050.98,RN,Nordeste,Casa e Jardim,Cortador de Grama
29,16,2024-05-24,20,1358.71,27174.2,ES,Sudeste,Celulares,Google Pixel 8
16,14,2024-09-07,5,4430.31,22151.55,DF,Centro-Oeste,Celulares,Google Pixel 8
4,18,2023-10-09,18,2390.67,43032.06,RJ,Sudeste,Celulares,Samsung Galaxy S23
47,24,2024-09-10,2,2735.82,5471.64,MT,Centro-Oeste,Celulares,Samsung Galaxy S23
31,25,2024-05-29,9,2125.4,19128.6,MS,Centro-Oeste,Informática,Monitor Full HD
16,13,2024-03-08,10,2146.29,21462.9,PI,Nordeste,Videogame,Console PS5
11,17,2024-03-18,17,3656.09,62153.53,MG,Sudeste,Videogame,Jogo FIFA 2024
24,3,2024-03-31,2,3339.2,6678.4,SE,Nordeste,Videogame,Console Xbox Series X
12,3,2024-09-06,11,1178.49,12963.39,MT,Centro-Oeste,Informática,Monitor Full HD
46,12,2024-03-04,17,1023.68,17402.56,SC,Sul,Informática,Teclado Mecânico
18,3,2024-05-07,19,4382.95,83276.05,AC,Norte,Eletroeletrônicos,Geladeira Frost Free
3,1,2023-09-16,14,4831.79,67645.06,PR,Sul,Videogame,Controle DualSense
7,25,2023-12-02,5,2007.54,10037.7,ES,Sudeste,Videogame,Headset Gamer
38,28,2024-03-05,6,4792.12,28752.72,DF,Centro-Oeste,Casa e Jardim,Luminária de Mesa
28,14,2024-07-08,11,988.03,10868.33,RR,Norte,Eletroeletrônicos,Cafeteira Elétrica
2,11,2024-07-07,20,2198.23,43964.6,AL,Nordeste,Eletroeletrônicos,Cafeteira Elétrica
19,25,2023-11-10,8,1818.55,14548.4,RR,Norte,Celulares,Samsung Galaxy S23
12,15,2024-05-07,6,711.68,4270.08,DF,Centro-Oeste,Informática,Mouse Gamer
18,20,2023-11-05,12,945.06,11340.72,GO,Centro-Oeste,Informática,Mouse Gamer
23,1,2023-09-16,16,2156.28,34500.48,AL,Nordeste,Informática,Teclado Mecânico
35,17,2024-06-21,3,1790.5,5371.5,MS,Centro-Oeste,Casa e Jardim,Aspirador de Pó
19,28,2024-01-07,20,344.15,6883.0,DF,Centro-Oeste,Informática,SSD 1TB
48,7,2024-02-14,20,2125.21,42504.2,MA,Nordeste,Eletroeletrônicos,Geladeira Frost Free
21,9,2024-05-06,3,2469.84,7409.52,PA,Norte,Videogame,Jogo FIFA 2024
47,9,2024-03-03,10,813.4,8134.0,DF,Centro-Oeste,Celulares,iPhone 14
43,17,2023-11-22,8,4186.58,33492.64,PI,Nordeste,Eletroeletrônicos,Geladeira Frost Free
24,2,2024-05-21,1,852.54,852.54,SE,Nordeste,Casa e Jardim,Cortador de Grama
30,4,2024-09-09,4,2213.98,8855.92,MT,Centro-Oeste,Casa e Jardim,Luminária de Mesa
1,8,2024-01-12,16,65.75,1052.0,SC,Sul,Eletroeletrônicos,Máquina de Lavar
22,1,2024-07-08,20,2639.86,52797.2,MS,Centro-Oeste,Informática,Monitor Full HD
41,23,2024-06-03,5,1601.57,8007.85,AL,Nordeste,Celulares,iPhone 14
38,4,2024-07-29,12,4724.88,56698.56,MT,Centro-Oeste,Eletroeletrônicos,Micro-ondas
14,2,2024-04-25,18,1941.63,34949.34,RN,Nordeste,Casa e Jardim,Cortador de Grama
27,9,2024-06-27,6,3250.0,19500.0,PA,Norte,Informática,Teclado Mecânico
31,2,2023-10-22,8,2241.29,17930.32,ES,Sudeste,Informática,Memória RAM 16GB
8,3,2024-09-02,19,958.39,18209.41,AP,Norte,Casa e Jardim,Aspirador de Pó
24,14,2024-06-03,20,4348.23,86964.6,RS,Sul,Casa e Jardim,Aspirador de Pó
20,6,2023-12-04,1,2604.24,2604.24,DF,Centro-Oeste,Videogame,Console Xbox Series X
42,11,2024-03-14,9,2051.17,18460.53,CE,Nordeste,Informática,Teclado Mecânico
4,12,2024-04-26,8,351.28,2810.24,PI,Nordeste,Eletroeletrônicos,Cafeteira Elétrica
38,26,2024-04-17,6,632.93,3797.58,GO,Centro-Oeste,Informática,Monitor Full HD
50,14,2024-04-22,10,1472.95,14729.5,RJ,Sudeste,Eletroeletrônicos,Cafeteira Elétrica
33,10,2023-12-23,3,3158.04,9474.12,PA,Norte,Videogame,Jogo FIFA 2024
2,16,2024-03-09,8,3249.09,25992.72,MS,Centro-Oeste,Celulares,Samsung Galaxy S23
33,23,2023-11-01,12,3177.09,38125.08,PR,Sul,Celulares,Xiaomi Mi 13
11,4,2024-04-17,13,692.57,9003.41,RN,Nordeste,Videogame,Jogo FIFA 2024
28,20,2024-02-26,14,297.62,4166.68,GO,Centro-Oeste,Videogame,Controle DualSense
48,9,2024-03-05,3,4316.2,12948.6,RN,Nordeste,Eletroeletrônicos,Micro-ondas
27,24,2023-10-18,15,1552.4,23286.0,RN,Nordeste,Celulares,Motorola Edge 40
49,24,2023-10-14,7,1542.89,10800.23,DF,Centro-Oeste,Eletroeletrônicos,Geladeira Frost Free
5,13,2023-09-28,6,748.24,4489.44,SP,Sudeste,Eletroeletrônicos,Geladeira Frost Free
7,28,2024-07-16,1,3279.57,3279.57,SC,Sul,Videogame,Headset Gamer
2,3,2024-07-22,20,4067.92,81358.4,MS,Centro-Oeste,Casa e Jardim,Ventilador
6,21,2024-06-14,12,2592.04,31104.48,DF,Centro-Oeste,Celulares,Google Pixel 8
9,24,2024-01-15,4,853.62,3414.48,CE,Nordeste,Informática,Memória RAM 16GB
1,2,2024-05-23,14,1539.55,21553.7,ES,Sudeste,Informática,Teclado Mecânico
2,20,2024-06-17,17,1608.09,27337.53,RR,Norte,Celulares,Samsung Galaxy S23
30,21,2024-05-21,10,1416.64,14166.4,RR,Norte,Eletroeletrônicos,TV 4K 55'
33,10,2024-05-30,10,2237.19,22371.9,SC,Sul,Casa e Jardim,Aspirador de Pó
34,20,2024-02-14,7,3642.8,25499.6,SE,Nordeste,Celulares,Google Pixel 8
4,5,2023-12-26,15,1211.52,18172.8,MG,Sudeste,Eletroeletrônicos,Micro-ondas
46,6,2024-06-23,4,4451.54,17806.16,RJ,Sudeste,Informática,Memória RAM 16GB
44,21,2024-06-29,19,306.02,5814.38,MG,Sudeste,Casa e Jardim,Furadeira Elétrica
12,25,2024-04-19,6,1673.87,10043.22,RO,Norte,Videogame,Controle DualSense
36,17,2023-09-16,15,3646.55,54698.25,PE,Nordeste,Celulares,Samsung Galaxy S23
5,17,2024-02-12,12,3644.71,43736.52,TO,Norte,Celulares,Google Pixel 8
46,28,2024-08-19,2,147.68,295.36,PR,Sul,Informática,Mouse Gamer
42,11,2023-12-16,11,3366.29,37029.19,ES,Sudeste,Casa e Jardim,Ventilador
35,16,2024-07-24,20,1547.0,30940.0,PR,Sul,Informática,SSD 1TB
37,1,2024-05-05,3,3603.92,10811.76,MG,Sudeste,Celulares,Motorola Edge 40
25,27,2023-12-06,10,3912.04,39120.4,CE,Nordeste,Videogame,Console Xbox Series X
27,27,2024-08-22,15,3017.71,45265.65,AM,Norte,Informática,Teclado Mecânico
46,2,2023-11-02,6,2231.76,13390.56,RS,Sul,Videogame,Console Xbox Series X
21,22,2024-01-24,4,1945.52,7782.08,PE,Nordeste,Videogame,Jogo FIFA 2024
1,18,2024-05-17,18,969.64,17453.52,PA,Norte,Celulares,Google Pixel 8
18,28,2024-06-06,2,710.72,1421.44,PE,Nordeste,Informática,SSD 1TB
28,1,2024-05-07,1,3891.02,3891.02,MS,Centro-Oeste,Casa e Jardim,Luminária de Mesa
1,9,2023-11-02,1,3791.66,3791.66,SP,Sudeste,Videogame,Headset Gamer
22,14,2024-07-01,7,1223.08,8561.56,SC,Sul,Informática,Monitor Full HD
21,6,2024-07-24,19,1035.71,19678.49,BA,Nordeste,Informática,Mouse Gamer
32,7,2023-12-14,19,767.42,14580.98,ES,Sudeste,Casa e Jardim,Ventilador
6,30,2023-09-16,14,2283.07,31962.98,DF,Centro-Oeste,Eletroeletrônicos,Geladeira Frost Free
29,24,2024-03-18,6,3296.42,19778.52,AP,Norte,Videogame,Jogo FIFA 2024
18,16,2024-02-05,1,4612.15,4612.15,TO,Norte,Informática,Monitor Full HD
2,27,2024-02-02,10,4477.15,44771.5,MS,Centro-Oeste,Informática,Memória RAM 16GB
8,6,2024-02-03,11,4695.36,51648.96,GO,Centro-Oeste,Videogame,Jogo FIFA 2024
11,7,2024-05-28,7,4071.59,28501.13,RR,Norte,Informática,SSD 1TB
1,22,2024-08-02,10,1605.44,16054.4,RJ,Sudeste,Videogame,Console Xbox Series X
3,26,2024-04-29,9,4002.55,36022.95,AL,Nordeste,Eletroeletrônicos,Máquina de Lavar
27,25,2024-01-26,19,525.34,9981.46,PR,Sul,Eletroeletrônicos,Geladeira Frost Free
49,28,2024-07-04,1,1368.6,1368.6,MG,Sudeste,Celulares,Samsung Galaxy S23
19,14,2024-07-14,20,3515.72,70314.4,MG,Sudeste,Casa e Jardim,Luminária de Mesa
2,20,2024-09-11,3,1243.32,3729.96,AM,Norte,Informática,Mouse Gamer
33,22,2024-04-12,15,2256.7,33850.5,GO,Centro-Oeste,Informática,Mouse Gamer
1,23,2024-07-16,9,1705.19,15346.71,RS,Sul,Celulares,Motorola Edge 40
33,2,2024-05-10,7,552.34,3866.38,DF,Centro-Oeste,Casa e Jardim,Ventilador
19,19,2023-09-23,4,2431.99,9727.96,MG,Sudeste,Celulares,Google Pixel 8
30,10,2023-09-30,18,3084.58,55522.44,SP,Sudeste,Celulares,Samsung Galaxy S23
31,25,2024-01-04,12,177.79,2133.48,SE,Nordeste,Eletroeletrônicos,TV 4K 55'
27,16,2024-05-01,4,2649.86,10599.44,MS,Centro-Oeste,Videogame,Controle DualSense
2,25,2023-09-30,10,2789.68,27896.8,DF,Centro-Oeste,Videogame,Console PS5
33,3,2024-07-26,19,1906.97,36232.43,SP,Sudeste,Eletroeletrônicos,Micro-ondas
38,16,2024-04-22,6,492.93,2957.58,CE,Nordeste,Eletroeletrônicos,Micro-ondas
41,25,2024-06-23,9,1931.58,17384.22,PI,Nordeste,Celulares,Motorola Edge 40
42,16,2023-10-16,9,1483.1,13347.9,AP,Norte,Eletroeletrônicos,Micro-ondas
24,19,2024-05-26,5,2136.21,10681.05,RJ,Sudeste,Videogame,Console Xbox Series X
17,21,2023-10-23,1,1174.26,1174.26,MS,Centro-Oeste,Videogame,Console Xbox Series X
36,10,2024-09-05,12,661.4,7936.8,SC,Sul,Celulares,iPhone 14
12,30,2023-10-19,7,1236.88,8658.16,BA,Nordeste,Celulares,Motorola Edge 40
18,21,2023-11-11,8,2374.08,18992.64,RS,Sul,Informática,Mouse Gamer
25,24,2024-08-22,2,160.14,320.28,GO,Centro-Oeste,Videogame,Console PS5
32,12,2024-01-26,5,1607.13,8035.65,PA,Norte,Celulares,Xiaomi Mi 13
48,19,2024-08-04,11,2255.87,24814.57,DF,Centro-Oeste,Videogame,Console PS5
5,17,2023-09-29,11,2692.67,29619.37,SC,Sul,Celulares,Samsung Galaxy S23
32,6,2023-10-30,15,1967.09,29506.35,SC,Sul,Informática,Monitor Full HD
23,29,2023-09-25,3,3973.97,11921.91,SC,Sul,Videogame,Controle DualSense
26,19,2024-02-09,13,2013.87,26180.31,RR,Norte,Casa e Jardim,Cortador de Grama
35,8,2024-06-21,10,991.53,9915.3,PR,Sul,Videogame,Jogo FIFA 2024
39,20,2023-10-25,15,634.12,9511.8,MG,Sudeste,Eletroeletrônicos,Cafeteira Elétrica
5,26,2024-03-01,11,1349.7,14846.7,DF,Centro-Oeste,Celulares,Samsung Galaxy S23
20,2,2023-09-15,7,1506.45,10545.15,RR,Norte,Celulares,Motorola Edge 40
19,26,2023-11-26,18,1945.35,35016.3,RJ,Sudeste,Celulares,Samsung Galaxy S23
48,21,2024-09-09,19,680.06,12921.14,AM,Norte,Celulares,Google Pixel 8
25,5,2023-12-30,17,4036.76,68624.92,AC,Norte,Informática,Memória RAM 16GB
3,1,2024-09-04,1,790.24,790.24,SC,Sul,Casa e Jardim,Furadeira Elétrica
21,25,2023-11-16,2,1294.23,2588.46,SC,Sul,Videogame,Controle DualSense
40,9,2024-05-14,6,1497.37,8984.22,DF,Centro-Oeste,Celulares,Google Pixel 8
35,20,2024-05-19,10,3056.1,30561.0,MS,Centro-Oeste,Casa e Jardim,Luminária de Mesa
39,26,2023-11-17,13,2223.87,28910.31,RJ,Sudeste,Eletroeletrônicos,Máquina de Lavar
1,28,2024-07-12,17,361.87,6151.79,SC,Sul,Casa e Jardim,Cortador de Grama
8,3,2023-11-27,6,872.41,5234.46,SP,Sudeste,Celulares,Google Pixel 8
40,20,2024-02-03,9,2011.43,18102.87,SC,Sul,Casa e Jardim,Ventilador
41,10,2024-02-08,3,1704.37,5113.11,CE,Nordeste,Informática,Teclado Mecânico
3,18,2024-07-30,8,1758.73,14069.84,MG,Sudeste,Eletroeletrônicos,TV 4K 55'
21,28,2024-08-22,5,4547.71,22738.55,SC,Sul,Videogame,Console Xbox Series X
31,10,2024-04-05,13,4189.73,54466.49,MG,Sudeste,Eletroeletrônicos,Cafeteira Elétrica
38,25,2024-05-25,7,2600.57,18203.99,RS,Sul,Informática,Monitor Full HD
44,30,2023-11-11,12,3042.5,36510.0,RO,Norte,Videogame,Headset Gamer
26,11,2024-02-29,14,659.11,9227.54,AM,Norte,Informática,Monitor Full HD
30,23,2024-09-05,4,3359.33,13437.32,MS,Centro-Oeste,Celulares,Samsung Galaxy S23
34,4,2024-06-27,10,4533.16,45331.6,RS,Sul,Videogame,Controle DualSense
48,28,2024-02-04,16,2968.19,47491.04,PR,Sul,Informática,SSD 1TB
8,17,2024-08-04,17,3988.98,67812.66,ES,Sudeste,Casa e Jardim,Cortador de Grama
38,11,2023-12-25,19,3833.29,72832.51,RS,Sul,Informática,Teclado Mecânico
6,15,2024-03-22,19,2611.07,49610.33,GO,Centro-Oeste,Casa e Jardim,Luminária de Mesa
9,19,2024-03-26,17,2740.38,46586.46,SP,Sudeste,Informática,SSD 1TB
28,14,2024-07-12,17,3395.9,57730.3,MS,Centro-Oeste,Videogame,Console PS5
13,18,2023-12-06,18,3201.45,57626.1,ES,Sudeste,Casa e Jardim,Ventilador
23,8,2023-11-28,9,2796.28,25166.52,AM,Norte,Informática,Memória RAM 16GB
44,13,2024-05-18,3,781.73,2345.19,PR,Sul,Informática,Memória RAM 16GB
41,7,2024-07-19,1,4560.23,4560.23,CE,Nordeste,Casa e Jardim,Furadeira Elétrica
11,3,2023-10-31,12,2078.71,24944.52,MG,Sudeste,Eletroeletrônicos,Geladeira Frost Free
8,9,2024-07-11,14,1666.0,23324.0,RS,Sul,Informática,Monitor Full HD
5,27,2024-07-26,8,2411.16,19289.28,MT,Centro-Oeste,Casa e Jardim,Luminária de Mesa
50,16,2024-01-02,19,2717.96,51641.24,PI,Nordeste,Celulares,Xiaomi Mi 13
21,28,2023-12-13,10,1291.28,12912.8,RR,Norte,Videogame,Controle DualSense
30,14,2024-09-11,19,2033.67,38639.73,AC,Norte,Casa e Jardim,Aspirador de Pó
8,1,2024-03-24,2,4206.44,8412.88,ES,Sudeste,Casa e Jardim,Furadeira Elétrica
17,28,2024-05-01,6,201.11,1206.66,BA,Nordeste,Informática,Teclado Mecânico
4,7,2024-02-22,2,126.08,252.16,CE,Nordeste,Videogame,Console Xbox Series X
41,11,2023-10-07,13,2284.05,29692.65,RN,Nordeste,Videogame,Controle DualSense
50,2,2024-02-19,12,4531.95,54383.4,MS,Centro-Oeste,Casa e Jardim,Cortador de Grama
46,29,2024-07-28,6,1527.76,9166.56,DF,Centro-Oeste,Informática,Monitor Full HD
8,3,2024-05-22,16,2360.91,37774.56,MT,Centro-Oeste,Casa e Jardim,Luminária de Mesa
49,19,2024-07-26,1,2309.51,2309.51,DF,Centro-Oeste,Informática,Memória RAM 16GB
28,18,2024-08-20,18,1772.28,31901.04,RS,Sul,Casa e Jardim,Luminária de Mesa
41,24,2023-11-13,20,3216.9,64338.0,BA,Nordeste,Informática,SSD 1TB
27,16,2023-12-30,5,4304.75,21523.75,AP,Norte,Videogame,Console Xbox Series X
7,29,2024-03-22,2,1855.0,3710.0,RR,Norte,Celulares,Google Pixel 8
14,15,2023-12-18,15,3487.97,52319.55,DF,Centro-Oeste,Videogame,Jogo FIFA 2024
49,11,2023-11-16,13,1762.53,22912.89,RR,Norte,Celulares,iPhone 14
3,15,2024-05-04,9,2954.7,26592.3,AM,Norte,Casa e Jardim,Cortador de Grama
21,20,2024-03-18,11,1314.5,14459.5,PB,Nordeste,Celulares,Google Pixel 8
46,16,2024-05-15,13,3751.18,48765.34,MG,Sudeste,Videogame,Console PS5
17,2,2024-01-27,1,1825.93,1825.93,AL,Nordeste,Celulares,Motorola Edge 40
4,18,2023-12-18,11,332.73,3660.03,SC,Sul,Celulares,Google Pixel 8
20,9,2024-07-29,19,2318.76,44056.44,RJ,Sudeste,Informática,Memória RAM 16GB
16,30,2023-09-16,14,590.34,8264.76,RS,Sul,Eletroeletrônicos,Máquina de Lavar
44,8,2024-08-21,18,4826.64,86879.52,AC,Norte,Eletroeletrônicos,Micro-ondas
39,14,2024-04-14,13,3823.17,49701.21,SC,Sul,Celulares,Xiaomi Mi 13
32,6,2024-06-13,13,1235.74,16064.62,MT,Centro-Oeste,Celulares,Motorola Edge 40
31,6,2023-12-04,13,3368.59,43791.67,MT,Centro-Oeste,Celulares,Samsung Galaxy S23
8,16,2024-02-27,20,770.43,15408.6,RJ,Sudeste,Casa e Jardim,Furadeira Elétrica
4,6,2024-07-22,4,2661.62,10646.48,CE,Nordeste,Celulares,Samsung Galaxy S23
22,9,2024-02-07,18,2281.92,41074.56,PR,Sul,Informática,Mouse Gamer
39,1,2023-11-17,2,3955.39,7910.78,RJ,Sudeste,Celulares,Samsung Galaxy S23
24,4,2023-12-28,20,4184.82,83696.4,RS,Sul,Videogame,Console PS5
17,15,2024-08-10,5,2466.93,12334.65,SP,Sudeste,Eletroeletrônicos,TV 4K 55'
44,13,2024-02-17,11,1864.92,20514.12,SP,Sudeste,Eletroeletrônicos,Micro-ondas
2,6,2024-08-25,6,2577.19,15463.14,SP,Sudeste,Celulares,Samsung Galaxy S23
28,5,2024-01-04,11,3499.6,38495.6,RS,Sul,Informática,Teclado Mecânico
1,7,2024-09-04,14,3741.69,52383.66,GO,Centro-Oeste,Informática,Monitor Full HD
36,20,2024-01-02,17,1952.78,33197.26,AL,Nordeste,Eletroeletrônicos,Micro-ondas
30,5,2024-08-10,18,1616.92,29104.56,MG,Sudeste,Celulares,Samsung Galaxy S23
1,13,2024-09-01,1,4829.93,4829.93,MG,Sudeste,Casa e Jardim,Furadeira Elétrica
33,16,2024-07-10,4,2257.15,9028.6,SC,Sul,Videogame,Console Xbox Series X
41,28,2023-11-03,7,3202.37,22416.59,RJ,Sudeste,Videogame,Headset Gamer
19,26,2023-11-02,14,1470.7,20589.8,MS,Centro-Oeste,Eletroeletrônicos,Geladeira Frost Free
48,4,2024-02-09,8,4771.04,38168.32,MS,Centro-Oeste,Casa e Jardim,Ventilador
24,18,2023-12-02,7,2239.45,15676.15,PR,Sul,Celulares,Samsung Galaxy S23
40,28,2024-07-13,1,50.92,50.92,RR,Norte,Informática,Teclado Mecânico
37,14,2024-07-05,5,629.93,3149.65,RJ,Sudeste,Eletroeletrônicos,TV 4K 55'
